0 gender class
1426 M 5B
1427 F 5B
1428 M 5B
1429 F 5B
1430 M 5B
1431 F 5B
1434 F 5B
1435 M 5B
1437 F 5B
1439 M 5B
1441 M 5B
1443 F 5B
1451 F 5A
1452 M 5A
1453 F 5A
1457 F 5A
1458 M 5A
1459 M 5A
1461 F 5A
1465 F 5B
1468 M 5A
1471 M 5B
1475 F 5B
1477 M 5A
1479 M 5A
1480 F 5B
1482 M 5B
1483 F 5A
1486 M 5B
1489 F 5B
1493 F 5A
1495 M 5A
1498 M 5A
1500 M 4A
1501 F 5A
1502 F 5A
1503 F 4A
1504 F 4A
1511 M 5A
1516 M 5A
1519 F 4A
1520 F 5A
1521 U Teacher
1522 M 5A
1524 F 4A
1525 M 4A
1528 M 4A
1532 M 4A
1533 M 4A
1538 F 4A
1539 F 4A
1545 M 4A
1546 F 4A
1548 M 4A
1549 M 4A
1551 M 3B
1552 F 3B
1555 F 3B
1558 M 3B
1560 F 3B
1562 F 3B
1563 F 5B
1564 M 3B
1567 M 3B
1570 F 3B
1572 F 3B
1574 F 3B
1578 M 5B
1579 M 3B
1580 M 3B
1585 M 5B
1592 M 5B
1594 M 3B
1601 F 4B
1603 F 2A
1604 F 2A
1606 F 2A
1609 F 2A
1613 M 2A
1616 F 2A
1617 F 2A
1618 U 4A
1625 M 2A
1628 M 2A
1630 M 4B
1632 F 4B
1637 U 5A
1641 F 2A
1643 F 2A
1647 M 2A
1648 F 2A
1649 M 2A
1650 U Teacher
1653 U Teacher
1656 M 1B
1661 F 1B
1663 F 1B
1664 M 1B
1665 M 1B
1666 M 1B
1668 U Teacher
1670 F 1B
1673 M 1B
1674 F 1B
1675 F 1B
1680 F 1B
1681 M 1B
1682 F 1B
1684 F 1B
1685 F 3B
1687 F 1B
1688 M 1B
1695 F 1B
1696 F 1B
1697 M 1B
1698 M 1B
1700 F 3B
1702 F 2B
1704 M 2B
1705 M 4A
1706 F 2B
1707 M 3B
1708 M 2B
1709 U Teacher
1710 M 2B
1711 F 1A
1712 F 3B
1713 F 2B
1714 M 3A
1715 F 2B
1718 F 2B
1719 F 3A
1720 F 3A
1722 F 3A
1723 M 3A
1727 F 3B
1730 U 4A
1731 M 3B
1732 M 2B
1735 M 3B
1737 M 3A
1738 F 3A
1739 M 2B
1741 M 3A
1743 F 2B
1744 M 3B
1745 U Teacher
1746 U Teacher
1748 M 3A
1749 F 2B
1750 M 5B
1751 F 5A
1752 M 1A
1753 U Teacher
1757 F 1A
1759 M 1A
1760 F 1A
1761 M 1A
1763 M 3A
1764 M 1A
1765 F 1B
1766 M 1A
1767 M 1A
1768 F 1A
1770 F 1A
1772 F 1A
1774 F 1A
1775 U 1A
1778 F 1A
1779 M 1B
1780 M 3A
1782 M 3A
1783 M 1A
1787 F 1A
1789 M 1A
1790 F 1A
1792 M 1A
1795 F 3A
1796 F 1A
1797 M 4A
1798 M 1A
1799 U 1A
1800 F 3A
1801 F 3A
1802 M 4B
1803 M 4B
1805 M 4B
1807 F 4B
1809 F 3A
1815 F 4A
1818 M 4B
1819 F 4B
1820 M 3A
1821 F 4B
1822 M 3A
1824 U Teacher
1831 F 4B
1833 M 3A
1835 F 4B
1836 M 4B
1837 M 4A
1838 M 3A
1843 M 3A
1847 M 4B
1851 M 2B
1852 U Teacher
1854 F 2B
1855 M 2B
1857 F 4B
1858 F 2B
1859 F 3A
1861 F 2B
1863 M 2B
1865 M 4B
1866 M 4B
1872 F 2B
1877 F 2B
1880 M 4B
1883 M 2B
1885 M 4B
1887 M 2B
1888 M 4B
1889 F 2B
1890 M 2B
1892 M 4B
1895 F 4B
1897 F 2B
1898 F 2B
1902 M 2A
1906 F 2A
1907 F 2A
1908 M 1B
1909 M 3A
1910 F 4B
1911 M 2A
1912 M 1B
1913 F 2A
1916 M 2A
1917 F 2A
1919 M 2A
1920 F 1B
1922 F 2A
